,0,1,2
0,"[347.5597448755995, 348.2093654689539, 348.71504735573893, 355.12811444845244, 297.59319577251375, 340.517285420833, 377.2825090744915, 403.0350600796317, 298.68360998420906, 339.69401586656255, 381.0842407540077, 408.38328344339317, 311.2764154485731, 344.7272104125294, 383.24491623640193, 410.7629337953957, 332.13746035531136, 353.80224566815974, 379.9978188288367, 402.4812871995009]","[319.1424763077163, 276.99133317034887, 249.11290795572847, 226.7334859430842, 259.17501596768454, 228.4530693179195, 226.9288482910609, 234.0952561351482, 265.2476712510675, 212.56650000120104, 207.85805368358763, 213.8570122375855, 276.1131248394003, 219.880564665589, 208.0774388392138, 209.91943236895952, 290.3428008204736, 251.78874333021128, 233.38247946970625, 224.68543893715477]",0
1,"[347.01530690652953, 347.25550007009895, 348.5650443267879, 354.3076168893986, 296.61699915512736, 339.44670581799585, 376.4174173122948, 402.19421148309306, 297.9548268998475, 340.1163060751111, 382.17496498930905, 409.4584415756058, 310.7646949281111, 343.82522791909344, 382.8863430331035, 410.2803864612419, 331.9365385057865, 353.4562855451393, 380.30764072864605, 402.7369888210089]","[318.8713657399531, 275.8341429527418, 246.43858460895206, 224.20350628026202, 257.73517400513015, 228.54718418777082, 227.4637567831923, 234.65994878726457, 262.9588887108637, 209.8740029768811, 204.9043185050691, 210.50176353237026, 272.88080195656175, 213.80750307927988, 202.07011233364506, 204.1229978459167, 286.56835137916136, 243.5834356165914, 226.14979918104981, 220.43969435951303]",0
2,"[347.325253895726, 347.74547102831065, 348.5635867884632, 353.9870876996021, 297.59473478957347, 339.8522353874518, 376.1288419541551, 401.65839515485703, 299.05249270849407, 341.0514792353376, 382.2856872273212, 409.1022329203579, 311.6541195917365, 344.7264192983931, 382.6305775192543, 409.3746067603005, 332.6093689825524, 354.4553896844156, 381.0393403582595, 403.2875183455698]","[319.96588401884844, 275.65461238293716, 246.1563881343975, 224.36582456969808, 260.2330732390211, 231.63157260124387, 229.9115140783721, 236.7145960386071, 264.935130152653, 211.49875905816623, 205.75985818375742, 211.00958955405682, 274.1108513597916, 216.1327213750588, 203.50427422475406, 205.3701365231586, 287.2963693155844, 243.75236642978035, 225.59985377950042, 220.2127751464626]",0
3,"[347.325253895726, 347.74547102831065, 348.5635867884632, 353.9870876996021, 297.59473478957347, 339.8522353874518, 376.1288419541551, 401.65839515485703, 299.05249270849407, 341.0514792353376, 382.2856872273212, 409.1022329203579, 311.6541195917365, 344.7264192983931, 382.6305775192543, 409.3746067603005, 332.6093689825524, 354.4553896844156, 381.0393403582595, 403.2875183455698]","[319.96588401884844, 275.65461238293716, 246.1563881343975, 224.36582456969808, 260.2330732390211, 231.63157260124387, 229.9115140783721, 236.7145960386071, 264.935130152653, 211.49875905816623, 205.75985818375742, 211.00958955405682, 274.1108513597916, 216.1327213750588, 203.50427422475406, 205.3701365231586, 287.2963693155844, 243.75236642978035, 225.59985377950042, 220.2127751464626]",0
4,"[346.5133945024658, 347.04371692187897, 347.65817166210775, 354.3692667665073, 297.3991078535438, 339.50869395075665, 375.9259067510059, 401.7203074544755, 298.56164612563686, 340.1376524832788, 382.0559040544218, 409.3555055003878, 310.97454802947374, 343.74207568930393, 382.2088976041142, 409.8238267431628, 331.8327116647507, 352.98071220180134, 380.50493834017396, 404.1093498587444]","[318.5613123552969, 274.6442283398276, 244.11585734135988, 222.5158053217008, 257.35389046742733, 227.07839368869915, 224.84236734244186, 231.14839300124612, 262.62919909477563, 209.59372434640764, 204.09876951467658, 209.00112676192168, 272.9688857535629, 215.10293193817293, 202.3434288396463, 203.6286883819962, 287.17732512802763, 244.39943340626465, 225.88444339991094, 219.56451970648607]",0
5,"[345.7457269360907, 346.49958236569023, 347.0709341028922, 353.5071137291665, 295.79810827354686, 337.65133285741655, 374.6758734995113, 401.2211788874309, 297.6312439296126, 338.6350116663764, 379.77158030674485, 407.27175449906895, 310.66462116265893, 341.85880430832185, 379.68662364258824, 407.06549659614063, 331.85920723197455, 352.3177487870055, 379.361934211905, 402.5347693276161]","[315.69804851303024, 270.5301659393159, 239.14457130482606, 219.0325062135592, 256.80513271031117, 222.0376888836114, 218.33416299780305, 224.11290509170527, 261.31433600121386, 205.55105370351686, 199.13871587517912, 205.35591257620302, 271.34796165337434, 209.40439273462954, 196.40798698889003, 199.0310368578996, 285.78714380771146, 240.03640561773167, 220.99488725273704, 216.19886146036265]",0
6,"[345.4427039747368, 346.50218247015806, 347.5461873458154, 353.7478602046829, 296.2407630904944, 338.90151955995736, 376.3245967199207, 403.01441039500145, 298.10157943098517, 340.2025735576667, 381.80754237096966, 409.0628647033816, 311.2462698735103, 345.100514227227, 384.074552147124, 411.21265816559014, 332.58977237929656, 354.83799070819185, 382.5601463046613, 405.04891788573104]","[316.0851876655997, 271.16973982405597, 241.1692760183592, 220.47444539197045, 256.5462652908895, 224.02013969999814, 221.6579960690637, 227.710971561307, 262.01747515126283, 209.36688384654187, 203.2311309651532, 208.29741985546016, 272.3475757562619, 214.1354458118168, 201.80018329317446, 203.54354620644344, 286.6840618303635, 242.6967623681045, 224.1645103369938, 218.4631696800447]",0
7,"[346.6880116274332, 346.7394663370812, 346.34179985199137, 352.4365115639397, 296.6906584049248, 340.94514299896514, 378.916127346596, 405.27108954885364, 298.12019292255144, 340.9770905400807, 384.1313671490335, 412.1419788395637, 311.3352432184263, 346.1152671121606, 386.7431271664992, 414.75348503762814, 333.0774735300264, 357.1424516663643, 385.55691315628195, 408.094890027476]","[314.9622953184869, 270.3019111993504, 241.06262237895038, 219.9023243061598, 255.99982461437986, 226.4537088732088, 226.27702139865147, 233.18694842154736, 261.5350498734803, 210.5805386530807, 207.01722132853132, 213.142303975592, 271.1802146559147, 214.48726978484765, 203.80920727693885, 206.14408777718253, 284.8488669311618, 242.6753007895676, 225.86844051989704, 220.42886380461115]",0
8,"[346.6880116274332, 346.7394663370812, 346.34179985199137, 352.4365115639397, 296.6906584049248, 340.94514299896514, 378.916127346596, 405.27108954885364, 298.12019292255144, 340.9770905400807, 384.1313671490335, 412.1419788395637, 311.3352432184263, 346.1152671121606, 386.7431271664992, 414.75348503762814, 333.0774735300264, 357.1424516663643, 385.55691315628195, 408.094890027476]","[314.9622953184869, 270.3019111993504, 241.06262237895038, 219.9023243061598, 255.99982461437986, 226.4537088732088, 226.27702139865147, 233.18694842154736, 261.5350498734803, 210.5805386530807, 207.01722132853132, 213.142303975592, 271.1802146559147, 214.48726978484765, 203.80920727693885, 206.14408777718253, 284.8488669311618, 242.6753007895676, 225.86844051989704, 220.42886380461115]",0
9,"[347.7019792323174, 346.39297928408814, 345.0945339245866, 348.79648398820717, 298.4805825588519, 344.07254491626486, 381.38194781743806, 407.5778054460292, 299.7999283703476, 344.51764930199687, 387.4835437431251, 415.04350278555677, 312.99622363620534, 349.93256434476416, 392.5281544821987, 419.7791379355153, 334.8534231760212, 365.25064361439235, 397.1576044102119, 417.4674471010464]","[320.26807811811676, 276.20727609710667, 245.63498428808572, 222.7921964312762, 257.7543757345793, 236.27728789653105, 236.58795093684628, 245.01001876674644, 261.3679669889186, 219.38373929805175, 224.7030261919155, 233.05210191790786, 270.5821222274491, 222.43330430795905, 222.68425842815807, 225.46230447217062, 284.20128472761843, 244.35719683197, 227.54586640394598, 219.39451752011414]",0
