,0,1
0,"[0.6389526724815369, 0.5815642476081848, 0.530685305595398, 0.4999157190322876, 0.4738187789916992, 0.5375019311904907, 0.5199019312858582, 0.5144913792610168, 0.5157293081283569, 0.5800245404243469, 0.5698928833007812, 0.5703533291816711, 0.5743968486785889, 0.6230813264846802, 0.6214094758033752, 0.6244452595710754, 0.6284806728363037, 0.6663520932197571, 0.6856548190116882, 0.7030802369117737, 0.7194766402244568]","[0.7939653992652893, 0.7970843315124512, 0.7736612558364868, 0.7386783361434937, 0.6975237727165222, 0.6337127089500427, 0.5652792453765869, 0.5140314102172852, 0.46900200843811035, 0.606149435043335, 0.521255612373352, 0.46617019176483154, 0.41780784726142883, 0.603542685508728, 0.5252804756164551, 0.47546622157096863, 0.43263620138168335, 0.6214573383331299, 0.5700715780258179, 0.5391137599945068, 0.5106421709060669]"
1,"[0.6389526724815369, 0.5809921026229858, 0.5285121202468872, 0.4960222542285919, 0.4690079987049103, 0.5290824770927429, 0.507064700126648, 0.49780911207199097, 0.4951939880847931, 0.5716745257377625, 0.5616896152496338, 0.5614192485809326, 0.5654464364051819, 0.6149504780769348, 0.615240752696991, 0.6173862218856812, 0.6221489906311035, 0.6588515043258667, 0.6782037615776062, 0.6950420141220093, 0.7124156951904207]","[0.7939653992652893, 0.7947319149971008, 0.7696446776390076, 0.732632577419281, 0.692950963973999, 0.6180465817451477, 0.5462522506713867, 0.4926756024360657, 0.4471251368522644, 0.5913974046707153, 0.5124755501747131, 0.4581317901611328, 0.412181556224823, 0.5917794704437256, 0.5178506374359131, 0.4707385301589966, 0.42956632375717163, 0.614000678062439, 0.565580427646637, 0.5361915826797485, 0.5075375437736506]"
2,"[0.6389526724815369, 0.5805093050003052, 0.5280311107635498, 0.4980858862400055, 0.470117449760437, 0.5286746025085449, 0.5056636333465576, 0.49617260694503784, 0.49328434467315674, 0.5725254416465759, 0.5640579462051392, 0.5650026202201843, 0.5703315138816833, 0.6174240112304688, 0.6179537773132324, 0.6208621263504028, 0.6261945962905884, 0.6630048751831055, 0.6828630566596985, 0.6996257901191711, 0.7161958813667291]","[0.7939653992652893, 0.7957355380058289, 0.7722184062004089, 0.7359269261360168, 0.6991607546806335, 0.6217237710952759, 0.5478078722953796, 0.4936816096305847, 0.448225200176239, 0.5959844589233398, 0.5141372084617615, 0.45898932218551636, 0.41376781463623047, 0.5977347493171692, 0.5241182446479797, 0.4763650894165039, 0.4367443025112152, 0.6205583810806274, 0.5726305246353149, 0.5412127375602722, 0.5114130973815916]"
3,"[0.6389526724815369, 0.5802096724510193, 0.5288084149360657, 0.49832791090011597, 0.4691791236400604, 0.5281530022621155, 0.5041899681091309, 0.49395471811294556, 0.49059879779815674, 0.5726855397224426, 0.5641914010047913, 0.5645513534545898, 0.5692541599273682, 0.6179814338684082, 0.6175962686538696, 0.6195966005325317, 0.6236845850944519, 0.6637212634086609, 0.683963418006897, 0.7007817029953003, 0.7172317504882808]","[0.7939653992652893, 0.7944238781929016, 0.7715796232223511, 0.7362449765205383, 0.6998189687728882, 0.6168422102928162, 0.5446357131004333, 0.49186262488365173, 0.4470336437225342, 0.5909334421157837, 0.51123046875, 0.45802611112594604, 0.41393956542015076, 0.5936422944068909, 0.5208884477615356, 0.4755527377128601, 0.437197744846344, 0.6174444556236267, 0.5710276961326599, 0.5406107306480408, 0.5106042027473449]"
4,"[0.6389526724815369, 0.5802096724510193, 0.5288084149360657, 0.49832791090011597, 0.4691791236400604, 0.5281530022621155, 0.5041899681091309, 0.49395471811294556, 0.49059879779815674, 0.5726855397224426, 0.5641914010047913, 0.5645513534545898, 0.5692541599273682, 0.6179814338684082, 0.6175962686538696, 0.6195966005325317, 0.6236845850944519, 0.6637212634086609, 0.683963418006897, 0.7007817029953003, 0.7172317504882808]","[0.7939653992652893, 0.7944238781929016, 0.7715796232223511, 0.7362449765205383, 0.6998189687728882, 0.6168422102928162, 0.5446357131004333, 0.49186262488365173, 0.4470336437225342, 0.5909334421157837, 0.51123046875, 0.45802611112594604, 0.41393956542015076, 0.5936422944068909, 0.5208884477615356, 0.4755527377128601, 0.437197744846344, 0.6174444556236267, 0.5710276961326599, 0.5406107306480408, 0.5106042027473449]"
5,"[0.6389526724815369, 0.580100953578949, 0.5285634994506836, 0.49856674671173096, 0.472272664308548, 0.5303535461425781, 0.5066848397254944, 0.49739810824394226, 0.49552685022354126, 0.5740078091621399, 0.564274787902832, 0.5654071569442749, 0.5714965462684631, 0.6177792549133301, 0.6170373558998108, 0.6198185086250305, 0.6258649826049805, 0.6620087027549744, 0.6817846894264221, 0.7000059485435486, 0.7190247178077691]","[0.7939653992652893, 0.7967081069946289, 0.7736135125160217, 0.7403861880302429, 0.7015788555145264, 0.6205201148986816, 0.5489292144775391, 0.4970305562019348, 0.4531218707561493, 0.5949882864952087, 0.5143463611602783, 0.45992106199264526, 0.4157199263572693, 0.5970574617385864, 0.523192822933197, 0.4771880507469177, 0.4381784498691559, 0.6198976635932922, 0.572678804397583, 0.5411386489868164, 0.5097144842147818]"
6,"[0.6389526724815369, 0.5809361934661865, 0.5306553840637207, 0.501882016658783, 0.47442179918289185, 0.5280877351760864, 0.5075972676277161, 0.5003979802131653, 0.500780463218689, 0.5735190510749817, 0.5650250315666199, 0.5657650828361511, 0.5711233019828796, 0.6189046502113342, 0.6183122396469116, 0.6204857230186462, 0.625216007232666, 0.6637789607048035, 0.6836845278739929, 0.701562762260437, 0.7192609310150143]","[0.7939653992652893, 0.8000767827033997, 0.7781309485435486, 0.7471446394920349, 0.7093710899353027, 0.6244930624961853, 0.5559361577033997, 0.5053971409797668, 0.4620055556297302, 0.5988146662712097, 0.5202600359916687, 0.4682571291923523, 0.42436498403549194, 0.6001840233802795, 0.5306224226951599, 0.48611900210380554, 0.4485727846622467, 0.62201988697052, 0.577131450176239, 0.5464120507240295, 0.5161502361297605]"
7,"[0.6389526724815369, 0.580338716506958, 0.5302206873893738, 0.5009304583072662, 0.4732622504234314, 0.5290759205818176, 0.5078892111778259, 0.500316858291626, 0.5006915032863617, 0.5737284421920776, 0.5645128488540649, 0.5656777024269104, 0.571615993976593, 0.6190531253814697, 0.6193105578422546, 0.6225554347038269, 0.628191351890564, 0.6644261479377747, 0.6850779056549072, 0.7033551931381226, 0.7213615775108332]","[0.7939653992652893, 0.8002117276191711, 0.7775620818138123, 0.7439062595367432, 0.7064743041992188, 0.6238607168197632, 0.5523874163627625, 0.499356210231781, 0.4542968273162842, 0.5968317985534668, 0.5144394040107727, 0.4611258804798126, 0.41715550422668457, 0.5972293019294739, 0.5219480395317078, 0.47474491596221924, 0.43552160263061523, 0.6184703707695007, 0.5713070631027222, 0.5395798087120056, 0.5090671777725213]"
8,"[0.6389526724815369, 0.5825080871582031, 0.5311321020126343, 0.49898895621299744, 0.4708970785140991, 0.5303298830986023, 0.5088849067687988, 0.5006354749202728, 0.4997580349445343, 0.5742368102073669, 0.5647122859954834, 0.5662022233009338, 0.5726528763771057, 0.6205371022224426, 0.6203330159187317, 0.6246459484100342, 0.6317749619483948, 0.6678465604782104, 0.6878702640533447, 0.705775260925293, 0.7245261669158934]","[0.7939653992652893, 0.7992885708808899, 0.7779421210289001, 0.7465036511421204, 0.7110662460327148, 0.6235396862030029, 0.5472545623779297, 0.49043571949005127, 0.4435372054576874, 0.5973977446556091, 0.5121465921401978, 0.4537907838821411, 0.4050063192844391, 0.5986603498458862, 0.5201475620269775, 0.4688994884490967, 0.42572295665740967, 0.6199517250061035, 0.5679378509521484, 0.534132182598114, 0.5012842416763306]"
9,"[0.6389526724815369, 0.5825080871582031, 0.5311321020126343, 0.49898895621299744, 0.4708970785140991, 0.5303298830986023, 0.5088849067687988, 0.5006354749202728, 0.4997580349445343, 0.5742368102073669, 0.5647122859954834, 0.5662022233009338, 0.5726528763771057, 0.6205371022224426, 0.6203330159187317, 0.6246459484100342, 0.6317749619483948, 0.6678465604782104, 0.6878702640533447, 0.705775260925293, 0.7245261669158934]","[0.7939653992652893, 0.7992885708808899, 0.7779421210289001, 0.7465036511421204, 0.7110662460327148, 0.6235396862030029, 0.5472545623779297, 0.49043571949005127, 0.4435372054576874, 0.5973977446556091, 0.5121465921401978, 0.4537907838821411, 0.4050063192844391, 0.5986603498458862, 0.5201475620269775, 0.4688994884490967, 0.42572295665740967, 0.6199517250061035, 0.5679378509521484, 0.534132182598114, 0.5012842416763306]"
