,0,1
0,"[0, 0.009955002030742474, 0.038798795594826116, 0.08356975753834577, 0.09872035843400066, 0.04439095949567093, 0.1816749184955631, 0.32372224401581134, 0.4558702419200993, 0.04241956141509406, 0.09594884521608087, 0.1621802722254725, 0.18442637095007447, 0.04255139798326588, 0.07880324452472753, 0.14144476944974904, 0.14718097002494912, 0.042941377461485006, 0.13574121892154625, 0.2262689229235575, 0.2149101131453744]","[0, 0.04093072873708858, 0.0717096664494939, 0.12976683139352202, 0.09383702667771132, 0.082598516499134, 0.2692736205659653, 0.4144130974148715, 0.48565178050002045, 0.07494294104584873, 0.10269527018161125, 0.14592102070780158, 0.11593169187000696, 0.06156076471882779, 0.09491354123423905, 0.09473064907693483, 0.07135979854807564, 0.04268988312992552, 0.08181848445315171, 0.08225672899287648, 0.09449383405274082]"
1,"[0, 0.018355410036682056, 0.047386460993900356, 0.03927573266915864, 0.07595369703244981, 0.046541448581571436, 0.20150308003000197, 0.3554789055077905, 0.4982630364904782, 0.03809675708386497, 0.06824785838334511, 0.09713136412732533, 0.08376764336520867, 0.029606587262091578, 0.04414531961089656, 0.07179667752084896, 0.05314021655624599, 0.019163049087362532, 0.0508595226853272, 0.09723964805432117, 0.0998546588194864]","[0, 0.02346825095881565, 0.025759803756553918, 0.059056567557811426, -0.03359194072754681, 0.0632108030435648, 0.2472581697071497, 0.39489135598634495, 0.46123111734191646, 0.05163988866964195, 0.08325982167597357, 0.13035425078800844, 0.08324628328004584, 0.03039483605585546, 0.014847087415576382, -0.018010975552743287, -0.09549347070964864, 0.0051465909207329755, -0.04661815252415704, -0.05908437791139692, -0.023464266508691965]"
2,"[0, 0.0235688484374053, 0.03350892140662314, 0.034080888697656866, 0.09520876282415552, 0.04929154795183526, 0.2223586686362075, 0.39851741709420313, 0.5578803641482336, 0.03728343035132915, 0.06668691537437306, 0.1053232050297201, 0.10596689787479223, 0.02668941167076595, 0.04871236562959634, 0.09715452593010897, 0.11148583003593715, 0.015061678163327945, 0.03081345649347816, 0.06470171419557573, 0.0683264782369656]","[0, 0.046290396462359655, 0.03716426597240009, 0.05222989906084468, -0.047098924468236415, 0.088948477403665, 0.29215116540453917, 0.43018906567025644, 0.48768286621456797, 0.07729995343827568, 0.1172582619254331, 0.14783941113442237, 0.07970729839100767, 0.051811995604659725, 0.05610659435377, -0.0017335586363056185, -0.10603381063381931, 0.022974024249989893, -0.017418284371564407, -0.04213841122376072, 0.0011556160326332407]"
3,"[0, 0.0235688484374053, 0.03350892140662314, 0.034080888697656866, 0.09520876282415552, 0.04929154795183526, 0.2223586686362075, 0.39851741709420313, 0.5578803641482336, 0.03728343035132915, 0.06668691537437306, 0.1053232050297201, 0.10596689787479223, 0.02668941167076595, 0.04871236562959634, 0.09715452593010897, 0.11148583003593715, 0.015061678163327945, 0.03081345649347816, 0.06470171419557573, 0.0683264782369656]","[0, 0.046290396462359655, 0.03716426597240009, 0.05222989906084468, -0.047098924468236415, 0.088948477403665, 0.29215116540453917, 0.43018906567025644, 0.48768286621456797, 0.07729995343827568, 0.1172582619254331, 0.14783941113442237, 0.07970729839100767, 0.051811995604659725, 0.05610659435377, -0.0017335586363056185, -0.10603381063381931, 0.022974024249989893, -0.017418284371564407, -0.04213841122376072, 0.0011556160326332407]"
4,"[0, 0.025460495869853918, 0.037881500975990676, 0.028954490521617558, 0.03172728468184534, 0.03768934035832937, 0.18705077459438804, 0.3316978434956315, 0.44848092714948634, 0.030566066153795805, 0.0657115874290618, 0.08978781318233081, 0.05976174413177463, 0.027747480490887478, 0.05585227735306215, 0.09270806447439707, 0.060802139629616184, 0.024866203447408294, 0.07050490644259566, 0.08653852176385149, 0.013754914849920894]","[0, 0.00654609572018403, 0.0008523816585698223, -0.03665752107263644, -0.08321295162821118, 0.06955699281423189, 0.2313887234828921, 0.32990447579300497, 0.3525283361273447, 0.056700621983443555, 0.0808134844636096, 0.1134403877598437, 0.043022339465751444, 0.03393930421712932, 0.02666902080776259, -0.03450098181624427, -0.12883045643629606, 0.008929243112506284, -0.047497699331772975, -0.05699884953587892, 0.028235491258816692]"
5,"[0, 0.010927790019578441, 0.0005342017385793393, -0.042204828906753346, -0.01237436878606871, 0.04963566391691798, 0.17413792269405662, 0.27348481557603044, 0.3318542652824273, 0.03304904426503694, 0.05693642456442082, 0.08329038818974321, 0.06745257299700352, 0.021857917580299462, 0.03956609074186346, 0.07933882205289855, 0.07588767641494251, 0.014731357250234885, 0.03589419663278057, 0.0427155807822307, 0.006565422954608032]","[0, -0.05206697332570329, -0.07979931110423522, -0.18172166791185398, -0.24311469919570497, 0.04860991550593168, 0.13222514033373733, 0.16754946922591096, 0.15531652915915709, 0.03726193139451231, 0.011644676676578885, -0.03788415341639792, -0.13511209340119182, 0.017576981115869084, -0.06824147471389314, -0.2134540363176613, -0.37044843851927634, -0.003220628902657328, -0.12861471805934457, -0.2054404842641203, -0.1676459616567153]"
6,"[0, 0.02132355419878071, 0.008295025004434162, -0.021780475604687086, 0.011420330271377241, 0.04442552822275687, 0.17000628246621344, 0.2750590003185488, 0.33382911572474794, 0.0319853001059162, 0.06292712723351274, 0.084876603849882, 0.05730048238697765, 0.021080898290522714, 0.026812930727324824, 0.03786717886510916, 0.006725311862231268, 0.011026166677544351, 0.010510041420882233, -0.0077397766663431485, -0.05737080285068562]","[0, -0.05441493921773381, -0.06964309318989016, -0.1122127237385594, -0.1836707609726211, 0.051943912102792485, 0.18244759763984736, 0.28477476213864733, 0.32644509368563873, 0.04733525247093414, 0.07972521647030663, 0.09156933029312107, 0.01344175607082364, 0.03304000810615928, 0.04257068620531617, 0.014453089794869062, -0.06707161556216593, 0.017100590824207108, -0.022507711392917337, -0.0131188627258047, 0.04793720258432278]"
7,"[0, -0.016422279107907813, -0.007976845084443681, 0.019892139266320722, 0.059955205016854404, 0.03781410203699406, 0.15591501051723014, 0.2688761902221992, 0.35455148274463666, 0.029402700068016725, 0.060594427229930574, 0.07535498187906255, 0.03593515837874995, 0.013314760491417272, 0.013751392313724266, -0.004021282761585269, -0.07657627962786566, -0.008555925882213095, -0.040360339867008134, -0.07586256275064068, -0.15368967572418882]","[0, -0.038352529440450825, -0.07642809375798153, -0.16796342334356681, -0.277900411192917, 0.053636522685382014, 0.25508871610058953, 0.45787840853838124, 0.5653014353078687, 0.04446014549944211, 0.10654290058202068, 0.22472326254129946, 0.26377995507835683, 0.025550864738736596, 0.06557114620646062, 0.1315802654493589, 0.16069948420702382, 0.00861973787678789, 0.03887162545559894, 0.1402270354309476, 0.28482216188835446]"
8,"[0, -0.016422279107907813, -0.007976845084443681, 0.019892139266320722, 0.059955205016854404, 0.03781410203699406, 0.15591501051723014, 0.2688761902221992, 0.35455148274463666, 0.029402700068016725, 0.060594427229930574, 0.07535498187906255, 0.03593515837874995, 0.013314760491417272, 0.013751392313724266, -0.004021282761585269, -0.07657627962786566, -0.008555925882213095, -0.040360339867008134, -0.07586256275064068, -0.15368967572418882]","[0, -0.038352529440450825, -0.07642809375798153, -0.16796342334356681, -0.277900411192917, 0.053636522685382014, 0.25508871610058953, 0.45787840853838124, 0.5653014353078687, 0.04446014549944211, 0.10654290058202068, 0.22472326254129946, 0.26377995507835683, 0.025550864738736596, 0.06557114620646062, 0.1315802654493589, 0.16069948420702382, 0.00861973787678789, 0.03887162545559894, 0.1402270354309476, 0.28482216188835446]"
9,"[0, 0.018974551219342047, 0.0725141614980317, 0.15012913570344008, 0.30422331231429534, 0.029758017320194483, 0.18980492023422224, 0.3475755959224651, 0.49549758427979135, 0.01226893989161811, 0.07557989841253628, 0.21815658938892407, 0.29915383769993503, -0.008902501216470632, 0.017809804331008337, 0.09567714940023637, 0.10783360052031259, -0.03744092002538271, -0.19953876656087818, -0.4205552699065485, -0.6218393455581815]","[0, 0.059943652190531826, 0.006583876805956917, -0.11348440823743212, -0.39829884862067955, 0.08388510166904145, 0.43771261280283363, 0.731580093797896, 0.9637852358990251, 0.0632520505706159, 0.26218683560883876, 0.6185186122107003, 0.8648141779200678, 0.0439373059336786, 0.22064055667400376, 0.6309830969165333, 0.8739794929526378, 0.032403867341326255, 0.2803582595782192, 0.6294805831617797, 0.7923734402195093]"
