,0,1
0,"[0, 0.009984449462925963, 0.04811482258942499, (1.432346378669857e-17-0.23391991546740043j), (9.256933940871328e-18-0.15117720386508773j), (4.155891687451206e-18-0.06787086187372064j), (1.188621722831786e-17-0.19411665855973342j), (2.0044461380617314e-17-0.32735089651274224j), (2.793510662868298e-17-0.4562149127100563j), (2.867072998758323e-18-0.04682285538580578j), (5.959458325221887e-18-0.09732534032459145j), (9.931371432949053e-18-0.16219160397697785j), (1.1372078127544724e-17-0.18572012984417072j), (2.7776654180843467e-18-0.045362718785828954j), (4.827509553026785e-18-0.07883921399031761j), (8.693220540041386e-18-0.1419710653895302j), (9.092597528040259e-18-0.148493386572698j), (2.696590860747144e-18-0.04403867078450074j), (9.580467622187128e-18-0.1564609098534765j), (1.9235612700696017e-17-0.31414139512043143j), (1.857498438920568e-17-0.30335251604198543j)]","[0, 0.04105180403722252, 0.08892796351710318, (2.2241425186938798e-17-0.3632300382840855j), (8.799027586028105e-18-0.14369902558279385j), (7.732891832356732e-18-0.12628770740658732j), (1.7617427735248276e-17-0.2877144291319622j), (2.5659921368729528e-17-0.41905831765689444j), (2.976007869154939e-17-0.4860189682816224j), (5.065278271444696e-18-0.08272227184150303j), (6.3784840918767265e-18-0.10416855041498782j), (8.935709853227222e-18-0.14593121640376003j), (7.148566935479399e-18-0.11674495765565238j), (4.0185567425437324e-18-0.06562801201687879j), (5.8144309892737234e-18-0.09495686418846572j), (5.8221624421370475e-18-0.09508312839572461j), (4.40849063414717e-18-0.07199611573257746j), (2.680797764295562e-18-0.043780749946221845j), (5.77465966069514e-18-0.09430734910205428j), (6.992823232148562e-18-0.11420146995880343j), (8.167235439583737e-18-0.1333810768177418j)]"
1,"[0, 0.01840970632819321, 0.058764482992514945, (6.731676041115907e-18-0.10993661267563451j), (7.122121182981703e-18-0.11631306574173715j), (4.3572209629970525e-18-0.0711588184614653j), (1.3183489505570995e-17-0.2153027226258192j), (2.2010792661893814e-17-0.3594635233149441j), (3.0532879257191056e-17-0.4986397592914012j), (2.5749012939237608e-18-0.0420513293419214j), (4.238928221650184e-18-0.06922695138878394j), (5.947996274148446e-18-0.09713815082503253j), (5.165270996778087e-18-0.08435527697250098j), (1.9326555056487116e-18-0.031562659650019934j), (2.7043550481751007e-18-0.04416546958776977j), (4.412636495213145e-18-0.072063822781971j), (3.282914914998457e-18-0.05361406925301483j), (1.203382520259835e-18-0.019652727971814842j), (3.589609804876494e-18-0.05862277690801495j), (8.266553731538408e-18-0.13500306761580408j), (8.630579090090347e-18-0.14094805287694856j)]","[0, 0.023537671309152162, 0.03194502222770737, (1.0122018200099395e-17-0.165305101963223j), (-3.1498910781250522e-18+0.051441625133354846j), (5.917809705182988e-18-0.0966451667420059j), (1.6177050420348696e-17-0.26419128244342427j), (2.4451160465270004e-17-0.39931775402171227j), (2.826361376242521e-17-0.46157984134043284j), (3.490260755287632e-18-0.05700028379966677j), (5.1713330819765914e-18-0.0844542783368572j), (7.982453504823816e-18-0.13036335881303102j), (5.13312294988809e-18-0.08383025952400266j), (1.984110722611165e-18-0.032402987114204355j), (9.095368695235402e-19-0.014853864316744961j), (-1.106957742095348e-18+0.018077991840031834j), (-5.89942908768267e-18+0.0963449884781487j), (3.231906115098533e-19-0.005278103233272992j), (-3.2902585111011923e-18+0.05373399927868179j), (-5.022891325421441e-18+0.0820300404805463j), (-2.02804967027442e-18+0.0331205645854205j)]"
2,"[0, 0.02363856636050166, 0.04155479014038408, (5.8413041925531896e-18-0.09539573690340974j), (8.927654255272106e-18-0.14579965850542193j), (4.6146858892431005e-18-0.0753635397970423j), (1.4547981966338738e-17-0.23758657559824772j), (2.467568146493499e-17-0.40298446020705986j), (3.41861477794396e-17-0.5583021619497365j), (2.519929789357661e-18-0.04115357654324716j), (4.141976822297059e-18-0.06764361488032083j), (6.449636909010626e-18-0.10533056410225568j), (6.534118929726756e-18-0.1067102602036124j), (1.7422284423195216e-18-0.028452749699464836j), (2.9841336082757314e-18-0.04873460021866552j), (5.971134342112679e-18-0.09751602415112692j), (6.887410664737729e-18-0.11247995208958228j), (9.45828617611849e-19-0.015446553541321j), (2.1747802517823193e-18-0.035516856832459545j), (5.5004332864468845e-18-0.0898288925472471j), (5.905553945534993e-18-0.09644501499773925j)]","[0, 0.04642732594829673, 0.046087824029431665, (8.95195929505552e-18-0.14619658992761375j), (-4.416430809254347e-18+0.07212578863275906j), (8.327376611208023e-18-0.13599638062183916j), (1.9114208192637126e-17-0.31215870904076476j), (2.6636748856745656e-17-0.4350111211704664j), (2.98845408537842e-17-0.48805158964349526j), (5.224585118631038e-18-0.08532395009350612j), (7.283002975792499e-18-0.11894046480770144j), (9.053185595614047e-18-0.14784974087087357j), (4.91490246198814e-18-0.08026644850433752j), (3.3821776781481826e-18-0.05523515319687255j), (3.437106198662064e-18-0.05613220401270164j), (-1.0654482030777475e-19+0.0017400089622894605j), (-6.550593900110338e-18+0.1069793168882835j), (1.4427004322968354e-18-0.02356108607479805j), (-1.2293635697515659e-18+0.02007703070971151j), (-3.5822778826624876e-18+0.058503037531419j), (9.988152466123373e-20-0.0016311890862046941j)]"
3,"[0, 0.02363856636050166, 0.04155479014038408, (5.8413041925531896e-18-0.09539573690340974j), (8.927654255272106e-18-0.14579965850542193j), (4.6146858892431005e-18-0.0753635397970423j), (1.4547981966338738e-17-0.23758657559824772j), (2.467568146493499e-17-0.40298446020705986j), (3.41861477794396e-17-0.5583021619497365j), (2.519929789357661e-18-0.04115357654324716j), (4.141976822297059e-18-0.06764361488032083j), (6.449636909010626e-18-0.10533056410225568j), (6.534118929726756e-18-0.1067102602036124j), (1.7422284423195216e-18-0.028452749699464836j), (2.9841336082757314e-18-0.04873460021866552j), (5.971134342112679e-18-0.09751602415112692j), (6.887410664737729e-18-0.11247995208958228j), (9.45828617611849e-19-0.015446553541321j), (2.1747802517823193e-18-0.035516856832459545j), (5.5004332864468845e-18-0.0898288925472471j), (5.905553945534993e-18-0.09644501499773925j)]","[0, 0.04642732594829673, 0.046087824029431665, (8.95195929505552e-18-0.14619658992761375j), (-4.416430809254347e-18+0.07212578863275906j), (8.327376611208023e-18-0.13599638062183916j), (1.9114208192637126e-17-0.31215870904076476j), (2.6636748856745656e-17-0.4350111211704664j), (2.98845408537842e-17-0.48805158964349526j), (5.224585118631038e-18-0.08532395009350612j), (7.283002975792499e-18-0.11894046480770144j), (9.053185595614047e-18-0.14784974087087357j), (4.91490246198814e-18-0.08026644850433752j), (3.3821776781481826e-18-0.05523515319687255j), (3.437106198662064e-18-0.05613220401270164j), (-1.0654482030777475e-19+0.0017400089622894605j), (-6.550593900110338e-18+0.1069793168882835j), (1.4427004322968354e-18-0.02356108607479805j), (-1.2293635697515659e-18+0.02007703070971151j), (-3.5822778826624876e-18+0.058503037531419j), (9.988152466123373e-20-0.0016311890862046941j)]"
4,"[0, 0.025535809387939618, 0.046977275220470405, (4.96266363173782e-18-0.08104644759930814j), (2.975043679763501e-18-0.04858615042042885j), (3.528484585154671e-18-0.05762452631422121j), (1.2237936628595842e-17-0.19986067227083545j), (2.053830015356465e-17-0.3354158957156335j), (2.7482299498389636e-17-0.44882001108440217j), (2.065913461251054e-18-0.03373892721867927j), (4.0813984356534584e-18-0.06665429474841378j), (5.498302047651337e-18-0.0897940867763582j), (3.68502194021296e-18-0.06018097532739425j), (1.811296940909407e-18-0.0295807238817021j), (3.421526665638788e-18-0.05587777092988751j), (5.697854034840308e-18-0.09305301804254706j), (3.756255882822972e-18-0.061344313894230146j), (1.561523661366066e-18-0.025501616669447218j), (4.976159627452725e-18-0.08126685393563796j), (7.35682773768528e-18-0.12014611466436509j), (1.188856703264144e-18-0.0194155033776575j)]","[0, 0.006565459423897143, 0.0010570480771840214, (-6.282926875229045e-18+0.1026079826379894j), (-7.80281603983694e-18+0.12742965637552905j), (6.511941429627359e-18-0.10634807414123365j), (1.5138780048870635e-17-0.24723504049348505j), (2.0427257151975955e-17-0.3336024258781913j), (2.1602455597607573e-17-0.3527948729813044j), (3.832307946580714e-18-0.0625863383507623j), (5.019389151503115e-18-0.08197284564002959j), (6.946705729871288e-18-0.11344831399074175j), (2.652838653788403e-18-0.04332414302042699j), (2.215486120452224e-18-0.0361816341167875j), (1.6337519285636186e-18-0.026681193789116996j), (-2.120436442742572e-18+0.03462935507966709j), (-7.958933070833786e-18+0.1299792409758488j), (5.607299251676389e-19-0.00915741462041204j), (-3.352335968335702e-18+0.05474780109121632j), (-4.845596027466058e-18+0.07913458853344082j), (2.4404333592216616e-18-0.03985530131497157j)]"
5,"[0, 0.010960115011027281, 0.0006624695814561532, (-7.233709373780441e-18+0.11813543919466137j), (-1.1603352766309042e-18+0.018949713132615457j), (4.6469021038745055e-18-0.07588967050924168j), (1.139310364892295e-17-0.18606350266632424j), (1.6933824985258797e-17-0.27655034899938147j), (2.0335576735172555e-17-0.3321051710473742j), (2.2337341378862043e-18-0.036479646857223116j), (3.5363661606834826e-18-0.057753242210662505j), (5.100421713171428e-18-0.08329620780003737j), (4.159252964064941e-18-0.06792575568663185j), (1.4268387092243733e-18-0.02330204447874757j), (2.4238301631392237e-18-0.03958415054572124j), (4.876178031722685e-18-0.07963403056485625j), (4.688215459255762e-18-0.0765643688044566j), (9.250854461530544e-19-0.015107791843283057j), (2.533373365856727e-18-0.04137312680881639j), (3.631344320712891e-18-0.05930435327542888j), (5.674587719745084e-19-0.009267305028186009j)]","[0, -0.05222099023712866, -0.09896002279644517, (-3.1146240054598435e-17+0.5086567012837278j), (-2.2796682935607557e-17+0.3722980854803115j), (4.5508713051924005e-18-0.0743213685506857j), (8.650928560014732e-18-0.14128038494099435j), (1.037444577048486e-17-0.1694275570345336j), (9.517585058816943e-18-0.15543395965993553j), (2.5184767078892347e-18-0.041129845921986596j), (7.232600372466445e-19-0.011811732782875948j), (-2.3198974439875184e-18+0.037886800432626315j), (-8.331266695858892e-18+0.1360599105253767j), (1.1473882155193042e-18-0.01873827157868147j), (-4.180492479476294e-18+0.06827262329656053j), (-1.3118922814114183e-17+0.2142482685333941j), (-2.2885693413868432e-17+0.37375173690573227j), (-2.0224592172324593e-19+0.0033029265558699446j), (-9.077486940915418e-18+0.14824661195759492j), (-1.7464941881051493e-17+0.28522414614909813j), (-1.4489877070514608e-17+0.2366376506369514j)]"
6,"[0, 0.021386630420587638, 0.010286753759861982, (-3.733071182331235e-18+0.060965679001167436j), (1.0708758009195169e-18-0.017488729022361423j), (4.1591280195146345e-18-0.06792371518727493j), (1.1122788001259124e-17-0.18164891312341228j), (1.703129646230634e-17-0.27814217902115435j), (2.0456592876628873e-17-0.3340815146190975j), (2.161837304103365e-18-0.03530548245597866j), (3.908453420460793e-18-0.06382988831036035j), (5.197556196160195e-18-0.0848825342911758j), (3.533255895530851e-18-0.05770244772600298j), (1.3761165305724257e-18-0.02247368843866708j), (1.642567891861221e-18-0.026825169395859126j), (2.327323508562388e-18-0.038008077270650795j), (4.154786723002167e-19-0.006785281643482662j), (6.924104919179405e-19-0.011307921474175635j), (7.417872945343435e-19-0.012114305856199596j), (-6.5797522885614395e-19+0.010745550950923187j), (-4.958639459776483e-18+0.08098072788380911j)]","[0, -0.05457590153872928, -0.08636518278565328, (-1.923273361345547e-17+0.31409437605758733j), (-1.7222669448974965e-17+0.28126753707217556j), (4.863000822109818e-18-0.0794188304006613j), (1.1936770338415871e-17-0.1949422535007925j), (1.7632883829829745e-17-0.2879668463120378j), (2.0004110077702914e-17-0.3266919097266339j), (3.199317006623571e-18-0.05224881180191807j), (4.951795969551249e-18-0.08086896520692959j), (5.607396131035379e-18-0.09157572836412042j), (8.288440499118507e-19-0.013536050565582243j), (2.1567819690858795e-18-0.03522292256979751j), (2.6078925502944568e-18-0.04259011744627386j), (8.882894543262392e-19-0.014506867693521119j), (-4.143573763366541e-18+0.06766969490715949j), (1.0738662720191802e-18-0.017537567121668842j), (-1.5885697945147093e-18+0.025943313543476107j), (-1.1152630206863622e-18+0.01821362733259666j), (4.143280074789496e-18-0.06766489860871246j)]"
7,"[0, -0.01647085709401319, -0.009892175264134113, (3.4094192063483344e-18-0.055680041114256035j), (5.621954590283054e-18-0.09181348604670797j), (3.540164801783592e-18-0.05781527872768528j), (1.0200856009788281e-17-0.16659262110333387j), (1.664846488217582e-17-0.27189006485408085j), (2.1726431262791305e-17-0.3548195492433915j), (1.987283334466633e-18-0.0324547997977908j), (3.7635675865011885e-18-0.06146372307707872j), (4.614484265531852e-18-0.07536024703195461j), (2.215829691294334e-18-0.036187245054444775j), (8.69159452331745e-19-0.01419445105212193j), (8.424142706597844e-19-0.013757669088692446j), (-2.471487495530676e-19+0.0040362453847940846j), (-4.730756229781762e-18+0.07725911231018608j), (-5.372867127958196e-19+0.008774557907960067j), (-2.84858889870307e-18+0.04652098712357504j), (-6.449241268747138e-18+0.1053241028064149j), (-1.3283615580378913e-17+0.21693790551900324j)]","[0, -0.03846597828820346, -0.09477933826645893, (-2.87881415791783e-17+0.47014603066323646j), (-2.6058513050007374e-17+0.4255678138080355j), (5.021463408415522e-18-0.08200672082614613j), (1.6689369766462064e-17-0.2725580923100743j), (2.835123704541548e-17-0.46301083814785976j), (3.464090089793727e-17-0.5657288439745339j), (3.0049929426417716e-18-0.049075259000945656j), (6.617463445619422e-18-0.10807137944143172j), (1.376129266091611e-17-0.22473896425479178j), (1.6265169900476755e-17-0.2656303827650748j), (1.6679065025043434e-18-0.027238980311149387j), (4.016907382731894e-18-0.06560107592701211j), (8.086946379977959e-18-0.13206985696787688j), (9.927749033115086e-18-0.16213244569825638j), (5.412939163730867e-19-0.008840000508717397j), (2.7435170544209557e-18-0.044805033685322154j), (1.1921004921333175e-17-0.19468478470091205j), (2.4617581431345817e-17-0.40203561465208637j)]"
8,"[0, -0.01647085709401319, -0.009892175264134113, (3.4094192063483344e-18-0.055680041114256035j), (5.621954590283054e-18-0.09181348604670797j), (3.540164801783592e-18-0.05781527872768528j), (1.0200856009788281e-17-0.16659262110333387j), (1.664846488217582e-17-0.27189006485408085j), (2.1726431262791305e-17-0.3548195492433915j), (1.987283334466633e-18-0.0324547997977908j), (3.7635675865011885e-18-0.06146372307707872j), (4.614484265531852e-18-0.07536024703195461j), (2.215829691294334e-18-0.036187245054444775j), (8.69159452331745e-19-0.01419445105212193j), (8.424142706597844e-19-0.013757669088692446j), (-2.471487495530676e-19+0.0040362453847940846j), (-4.730756229781762e-18+0.07725911231018608j), (-5.372867127958196e-19+0.008774557907960067j), (-2.84858889870307e-18+0.04652098712357504j), (-6.449241268747138e-18+0.1053241028064149j), (-1.3283615580378913e-17+0.21693790551900324j)]","[0, -0.03846597828820346, -0.09477933826645893, (-2.87881415791783e-17+0.47014603066323646j), (-2.6058513050007374e-17+0.4255678138080355j), (5.021463408415522e-18-0.08200672082614613j), (1.6689369766462064e-17-0.2725580923100743j), (2.835123704541548e-17-0.46301083814785976j), (3.464090089793727e-17-0.5657288439745339j), (3.0049929426417716e-18-0.049075259000945656j), (6.617463445619422e-18-0.10807137944143172j), (1.376129266091611e-17-0.22473896425479178j), (1.6265169900476755e-17-0.2656303827650748j), (1.6679065025043434e-18-0.027238980311149387j), (4.016907382731894e-18-0.06560107592701211j), (8.086946379977959e-18-0.13206985696787688j), (9.927749033115086e-18-0.16213244569825638j), (5.412939163730867e-19-0.008840000508717397j), (2.7435170544209557e-18-0.044805033685322154j), (1.1921004921333175e-17-0.19468478470091205j), (2.4617581431345817e-17-0.40203561465208637j)]"
9,"[0, 0.01903067896381846, 0.0899256268708499, (2.5731428472673116e-17-0.420226117286851j), (2.852679173819297e-17-0.4658778638551856j), (2.7859523250018025e-18-0.045498054246195574j), (1.241812866404345e-17-0.20280343153126984j), (2.1521429985431025e-17-0.35147162431511j), (3.036341611773129e-17-0.49587221619933974j), (8.292388019393942e-19-0.013542497355429214j), (4.6943270010145464e-18-0.07666417785573636j), (1.3359171803304358e-17-0.21817183228022208j), (1.8446390269206355e-17-0.30125241468886294j), (-5.811364828288158e-19+0.009490678997951502j), (1.0910337647138626e-18-0.01781793355395993j), (5.8803345193633046e-18-0.09603315051257917j), (6.6617819502376524e-18-0.10879515554812774j), (-2.351178483945173e-18+0.03839765858339164j), (-1.4083229159099648e-17+0.22999658626315672j), (-3.575231713942459e-17+0.5838796486352921j), (-5.374645225989779e-17+0.877746176241479j)]","[0, 0.06012096874227739, 0.008164739642368964, (-1.9450694361508995e-17+0.317653945203651j), (-3.734818419314892e-17+0.6099421354655429j), (7.853342227517437e-18-0.12825481164014374j), (2.863767460270598e-17-0.4676887184557154j), (4.529849032012793e-17-0.7397804877564127j), (5.905944467572538e-17-0.964513927066071j), (4.275108941663412e-18-0.0698178273872909j), (1.6284630802110013e-17-0.2659482034076765j), (3.78759881936605e-17-0.6185618289294715j), (5.3326074500363655e-17-0.870880886431767j), (2.8681345629059455e-18-0.04684019204398938j), (1.3516504321020325e-17-0.22074126728508237j), (3.8780332704225464e-17-0.6333308955892563j), (5.3993011296446506e-17-0.8817727908820493j), (2.0348665480946928e-18-0.03323189264874487j), (1.9787381090590162e-17-0.32315245676331994j), (5.3513511903704826e-17-0.8739419715294732j), (6.848595474212272e-17-1.1184605192257115j)]"
